,Episodes,Avg_rewards,alpha,gamma,epsilon
0,1,12.4,0.6,0.99,0.1
1,11,12.1,0.6,0.99,0.1
2,21,13.0,0.6,0.99,0.1
3,31,11.5,0.6,0.99,0.1
4,41,12.9,0.6,0.99,0.1
5,51,12.5,0.6,0.99,0.1
6,61,11.6,0.6,0.99,0.1
7,71,12.1,0.6,0.99,0.1
8,81,10.7,0.6,0.99,0.1
9,91,10.7,0.6,0.99,0.1
10,101,10.0,0.6,0.99,0.1
11,111,14.9,0.6,0.99,0.1
12,121,11.8,0.6,0.99,0.1
13,131,14.3,0.6,0.99,0.1
14,141,12.6,0.6,0.99,0.1
15,151,11.8,0.6,0.99,0.1
16,161,12.9,0.6,0.99,0.1
17,171,12.8,0.6,0.99,0.1
18,181,12.8,0.6,0.99,0.1
19,191,11.8,0.6,0.99,0.1
20,201,10.6,0.6,0.99,0.1
21,211,13.0,0.6,0.99,0.1
22,221,11.8,0.6,0.99,0.1
23,231,12.4,0.6,0.99,0.1
24,241,13.4,0.6,0.99,0.1
25,251,11.3,0.6,0.99,0.1
26,261,13.2,0.6,0.99,0.1
27,271,14.6,0.6,0.99,0.1
28,281,16.5,0.6,0.99,0.1
29,291,13.2,0.6,0.99,0.1
30,301,13.4,0.6,0.99,0.1
31,311,12.3,0.6,0.99,0.1
32,321,14.4,0.6,0.99,0.1
33,331,13.0,0.6,0.99,0.1
34,341,11.8,0.6,0.99,0.1
35,351,12.5,0.6,0.99,0.1
36,361,16.6,0.6,0.99,0.1
37,371,16.0,0.6,0.99,0.1
38,381,13.5,0.6,0.99,0.1
39,391,12.6,0.6,0.99,0.1
40,401,15.3,0.6,0.99,0.1
41,411,16.7,0.6,0.99,0.1
42,421,17.6,0.6,0.99,0.1
43,431,16.8,0.6,0.99,0.1
44,441,16.0,0.6,0.99,0.1
45,451,13.1,0.6,0.99,0.1
46,461,14.7,0.6,0.99,0.1
47,471,14.6,0.6,0.99,0.1
48,481,11.0,0.6,0.99,0.1
49,491,10.5,0.6,0.99,0.1
50,501,14.7,0.6,0.99,0.1
51,511,11.6,0.6,0.99,0.1
52,521,12.6,0.6,0.99,0.1
53,531,13.4,0.6,0.99,0.1
54,541,16.8,0.6,0.99,0.1
55,551,22.0,0.6,0.99,0.1
56,561,14.7,0.6,0.99,0.1
57,571,16.4,0.6,0.99,0.1
58,581,13.3,0.6,0.99,0.1
59,591,12.8,0.6,0.99,0.1
60,601,16.2,0.6,0.99,0.1
61,611,11.9,0.6,0.99,0.1
62,621,14.9,0.6,0.99,0.1
63,631,16.9,0.6,0.99,0.1
64,641,14.3,0.6,0.99,0.1
65,651,13.7,0.6,0.99,0.1
66,661,19.6,0.6,0.99,0.1
67,671,15.8,0.6,0.99,0.1
68,681,12.6,0.6,0.99,0.1
69,691,18.7,0.6,0.99,0.1
70,701,15.9,0.6,0.99,0.1
71,711,18.1,0.6,0.99,0.1
72,721,14.8,0.6,0.99,0.1
73,731,18.3,0.6,0.99,0.1
74,741,15.6,0.6,0.99,0.1
75,751,16.5,0.6,0.99,0.1
76,761,24.3,0.6,0.99,0.1
77,771,12.9,0.6,0.99,0.1
78,781,20.5,0.6,0.99,0.1
79,791,16.1,0.6,0.99,0.1
80,801,14.3,0.6,0.99,0.1
81,811,12.7,0.6,0.99,0.1
82,821,17.0,0.6,0.99,0.1
