,Episodes,Avg_rewards,alpha,gamma,epsilon
0,1,9.3,0.6,0.99,0.1
1,11,10.1,0.6,0.99,0.1
2,21,10.0,0.6,0.99,0.1
3,31,10.0,0.6,0.99,0.1
4,41,10.3,0.6,0.99,0.1
5,51,10.3,0.6,0.99,0.1
6,61,10.6,0.6,0.99,0.1
7,71,10.8,0.6,0.99,0.1
8,81,10.9,0.6,0.99,0.1
9,91,11.0,0.6,0.99,0.1
10,101,10.8,0.6,0.99,0.1
11,111,11.4,0.6,0.99,0.1
12,121,12.6,0.6,0.99,0.1
13,131,10.9,0.6,0.99,0.1
14,141,11.4,0.6,0.99,0.1
15,151,11.1,0.6,0.99,0.1
16,161,10.7,0.6,0.99,0.1
17,171,11.2,0.6,0.99,0.1
18,181,11.7,0.6,0.99,0.1
19,191,12.8,0.6,0.99,0.1
20,201,12.4,0.6,0.99,0.1
21,211,10.9,0.6,0.99,0.1
22,221,11.0,0.6,0.99,0.1
23,231,12.6,0.6,0.99,0.1
24,241,13.1,0.6,0.99,0.1
25,251,15.0,0.6,0.99,0.1
26,261,13.9,0.6,0.99,0.1
27,271,14.0,0.6,0.99,0.1
28,281,13.1,0.6,0.99,0.1
29,291,13.4,0.6,0.99,0.1
30,301,12.7,0.6,0.99,0.1
31,311,13.7,0.6,0.99,0.1
32,321,13.7,0.6,0.99,0.1
33,331,12.4,0.6,0.99,0.1
34,341,12.3,0.6,0.99,0.1
35,351,12.1,0.6,0.99,0.1
36,361,13.8,0.6,0.99,0.1
37,371,14.0,0.6,0.99,0.1
38,381,14.0,0.6,0.99,0.1
39,391,13.4,0.6,0.99,0.1
40,401,14.1,0.6,0.99,0.1
41,411,13.0,0.6,0.99,0.1
42,421,13.3,0.6,0.99,0.1
43,431,13.7,0.6,0.99,0.1
44,441,13.4,0.6,0.99,0.1
45,451,13.8,0.6,0.99,0.1
46,461,11.5,0.6,0.99,0.1
47,471,11.7,0.6,0.99,0.1
48,481,14.9,0.6,0.99,0.1
49,491,13.5,0.6,0.99,0.1
50,501,13.1,0.6,0.99,0.1
51,511,14.8,0.6,0.99,0.1
52,521,14.4,0.6,0.99,0.1
53,531,12.1,0.6,0.99,0.1
54,541,12.1,0.6,0.99,0.1
55,551,12.8,0.6,0.99,0.1
56,561,14.9,0.6,0.99,0.1
57,571,13.3,0.6,0.99,0.1
58,581,16.4,0.6,0.99,0.1
59,591,15.4,0.6,0.99,0.1
60,601,11.6,0.6,0.99,0.1
61,611,19.6,0.6,0.99,0.1
62,621,16.2,0.6,0.99,0.1
63,631,20.1,0.6,0.99,0.1
64,641,18.1,0.6,0.99,0.1
65,651,15.2,0.6,0.99,0.1
66,661,16.6,0.6,0.99,0.1
67,671,17.7,0.6,0.99,0.1
68,681,16.5,0.6,0.99,0.1
69,691,14.6,0.6,0.99,0.1
70,701,14.0,0.6,0.99,0.1
71,711,14.6,0.6,0.99,0.1
72,721,18.8,0.6,0.99,0.1
73,731,18.2,0.6,0.99,0.1
74,741,18.0,0.6,0.99,0.1
75,751,19.0,0.6,0.99,0.1
76,761,18.8,0.6,0.99,0.1
77,771,21.3,0.6,0.99,0.1
78,781,16.8,0.6,0.99,0.1
79,791,19.0,0.6,0.99,0.1
80,801,19.0,0.6,0.99,0.1
81,811,15.4,0.6,0.99,0.1
82,821,26.4,0.6,0.99,0.1
83,831,18.9,0.6,0.99,0.1
84,841,17.8,0.6,0.99,0.1
85,851,18.0,0.6,0.99,0.1
86,861,18.5,0.6,0.99,0.1
87,871,22.3,0.6,0.99,0.1
88,881,16.6,0.6,0.99,0.1
89,891,38.2,0.6,0.99,0.1
90,901,19.7,0.6,0.99,0.1
91,911,18.3,0.6,0.99,0.1
92,921,23.8,0.6,0.99,0.1
93,931,36.7,0.6,0.99,0.1
94,941,20.3,0.6,0.99,0.1
95,951,29.3,0.6,0.99,0.1
96,961,23.0,0.6,0.99,0.1
97,971,30.9,0.6,0.99,0.1
98,981,25.0,0.6,0.99,0.1
99,991,18.9,0.6,0.99,0.1
100,1001,18.6,0.6,0.99,0.1
101,1011,24.5,0.6,0.99,0.1
102,1021,21.8,0.6,0.99,0.1
103,1031,23.9,0.6,0.99,0.1
